case_id	category	run_status	report_status	schema_valid	elapsed_seconds	event_count	state_character_count	adaptive_result_count	literature_query_count	error_type
giab_cmrg_del_chr4_1092990_1093039	technical_benchmark	complete	complete	True	180.531	19	127709	0	3	
giab_cmrg_ins_chr3_49404094_663bp	technical_benchmark	complete	incomplete	True	226.875	23	132619	2	3	
giab_cmrg_tandem_dup_as_ins_chr2_983265_222bp	technical_benchmark	complete	incomplete	True	172.938	21	151267	1	3	
clingen_22q11_2_distal_type1_del	interpretation_reference	complete	incomplete	True	211.562	21	247897	1	3	
clingen_16p12_2_population_dup	interpretation_reference	complete	incomplete	True	181.797	23	144054	2	3	
clingen_22q11_21_ces_gain	interpretation_reference	complete	incomplete	True	222.109	23	165447	2	3	
